student firstname,student surname,student id,student email,year,address,contact number,module id,module name,leader,lecturer1,lecturer2,exam mark,coursework1,coursework2,coursework3
Paul,Taylor,138457165,PT1Y25@UoNEHT.ac.uk,1,"371 Thompson Ports
Lewisburgh, SD 83119",,COMP1405,Basic Ethics and Standards,FM1Z1@UoNEHT.ac.uk,DS7Z1@UoNEHT.ac.uk,,47.0,7.0,,
Melissa,Boyle,114031531,MB19Y25@UoNEHT.ac.uk,1,"PSC 3466, Box 2300
APO AE 58840",730-757-5015,ANIM1405,Beginner's Rigging,BK1Z1@UoNEHT.ac.uk,RF1Z1@UoNEHT.ac.uk,AM4Z1@UoNEHT.ac.uk,3.0,9.0,5.0,
Amanda,Padilla,121722195,AP18Y25@UoNEHT.ac.uk,1,"Unit 1223 Box 3508
DPO AA 90621",+1-931-466-3330,FREN1404,Basic French Literature,RR1Z1@UoNEHT.ac.uk,,,24.0,2.0,1.0,4.0
Stephen,Bennett,5838570,SB2Y25@UoNEHT.ac.uk,4,"4196 Anderson Terrace
South Jessicafort, NC 14976",,FINE4405,Mastering Charcoal,LM2Z1@UoNEHT.ac.uk,JO1Z1@UoNEHT.ac.uk,MS2Z1@UoNEHT.ac.uk,45.0,,,
Melissa,Hill,89918981,MH19Y25@UoNEHT.ac.uk,2,"186 Kimberly Extensions Apt. 494
Lake Robert, MS 83623",214.330.3950x0516,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,29.0,8.0,,
Leslie,Jackson,94548403,LJ4Y25@UoNEHT.ac.uk,2,"456 Wilson Walk Suite 939
Lake Tina, IL 04374",,GER2405,Intermediate German Grammar,FF1Z1@UoNEHT.ac.uk,JJ2Z1@UoNEHT.ac.uk,BW2Z1@UoNEHT.ac.uk,45.0,2.0,,
Robin,Moore,72201374,RM12Y25@UoNEHT.ac.uk,3,"34320 Maurice Manor Apt. 362
North Shelby, PR 90314",,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,39.0,8.0,,
Andrea,Valdez,24720504,AV1Y25@UoNEHT.ac.uk,4,"844 Thompson Square
Port Dalehaven, CT 22735",001-462-811-5849,GER4405,Master's German Literature,EH1Z1@UoNEHT.ac.uk,,,,19.0,31.0,
John,David,118468754,JD13Y25@UoNEHT.ac.uk,1,"0726 Jessica Valleys
Brianmouth, TX 34528",723.787.1366,FREN1404,Basic French Literature,RR1Z1@UoNEHT.ac.uk,,,66.0,0.0,10.0,1.0
Kevin,Boyle,132444774,KB8Y25@UoNEHT.ac.uk,1,"86958 Robert Tunnel Suite 088
Carolfort, HI 14203",420.441.4721x1160,GER1406,Early German Literature,MS3Z1@UoNEHT.ac.uk,,,2.0,4.0,8.0,
Drew,Taylor,17255499,DT2Y25@UoNEHT.ac.uk,4,"1370 Espinoza Crescent Suite 747
Leeborough, ID 45885",558-626-9461,FREN4405,Theoretical Rhetoric,JM1Z1@UoNEHT.ac.uk,JL1Z1@UoNEHT.ac.uk,,70.0,8.0,1.0,
Donna,Nelson,18016903,DN2Y25@UoNEHT.ac.uk,4,"USNV Martin
FPO AP 28655",,ENG4405,Expert Formal Speech,KB1Z1@UoNEHT.ac.uk,RR1Z1@UoNEHT.ac.uk,,,22.0,4.0,
Cody,Johnson,32353722,CJ4Y25@UoNEHT.ac.uk,4,"2235 Pearson Trace Apt. 057
Lake Kellyshire, PA 19755",+1-947-598-2705x6729,ELEC4406,Theoretical Modelling,JS3Z1@UoNEHT.ac.uk,,,71.0,,,
Kelli,Roth,34283473,KR2Y25@UoNEHT.ac.uk,4,"USNV Bell
FPO AE 01066",935-762-6773x78031,ELEC4402,Master's Microsystems,LN1Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,CJ1Z1@UoNEHT.ac.uk,53.0,3.0,7.0,
John,Stewart,104843161,JS35Y25@UoNEHT.ac.uk,2,"329 Cruz Forges Apt. 900
Howardhaven, RI 42190",(376)445-6390,ELEC2404,Intermediate Programming,EH2Z1@UoNEHT.ac.uk,,,,9.0,2.0,28.0
Andrea,Burton,29095867,AB7Y25@UoNEHT.ac.uk,4,"418 Hale Knoll
Carlberg, SD 41245",(249)202-9308x8472,COMP4402,Expert Design,AP1Z1@UoNEHT.ac.uk,MW1Z1@UoNEHT.ac.uk,RM1Z1@UoNEHT.ac.uk,27.0,4.0,3.0,
Melissa,Rojas,112588438,MR16Y25@UoNEHT.ac.uk,1,"9611 Mejia Hill
Butlerchester, AS 48762",(626)950-8676,FINE1401,Basic Landscapes,CM2Z1@UoNEHT.ac.uk,AD6Z1@UoNEHT.ac.uk,,48.0,1.0,3.0,3.0
Lisa,Watson,13875034,LW2Y25@UoNEHT.ac.uk,4,"733 Torres Plains Apt. 112
East Lauren, SD 93439",,FREN4402,Expert French Literature,YC1Z1@UoNEHT.ac.uk,,,77.0,,,
Anthony,Holt,64652547,AH7Y25@UoNEHT.ac.uk,3,"029 Ramos Isle Suite 839
South Mary, AS 02586",(444)958-5041x44997,COMP3407,Practical Software,MC1Z1@UoNEHT.ac.uk,,,9.0,40.0,,
Andrew,Andrade,4824527,AA1Y25@UoNEHT.ac.uk,4,"179 Escobar Estates
East Abigailland, FL 95390",,FINE4404,Theoretical Landscapes,PG1Z1@UoNEHT.ac.uk,,,65.0,7.0,,
Tiffany,Gray,69803998,TG4Y25@UoNEHT.ac.uk,3,"Unit 3492 Box 8244
DPO AA 66243",001-595-500-6385x19459,COMP3406,Field Ethics and Standards,JR3Z1@UoNEHT.ac.uk,,,8.0,11.0,25.0,21.0
Kevin,Anderson,138657046,KA7Y25@UoNEHT.ac.uk,1,"4526 Vanessa Street Suite 513
North Tinaview, VI 09994",317-509-7878x53328,COMP1407,Basic Programming,MH3Z1@UoNEHT.ac.uk,KS4Z1@UoNEHT.ac.uk,AK1Z1@UoNEHT.ac.uk,66.0,4.0,1.0,
Lawrence,Brown,55853044,LB1Y25@UoNEHT.ac.uk,3,"2787 Catherine Court Suite 706
West Rachelhaven, AZ 96832",,ENG3402,Mastering Wider Media,MB1Z1@UoNEHT.ac.uk,,,5.0,7.0,,
Christine,Carter,8053544,CC1Y25@UoNEHT.ac.uk,4,"76739 Richard River Suite 998
Christinefort, RI 62040",,ANIM4403,Expert Blending,GD1Z1@UoNEHT.ac.uk,,,63.0,,,
Thomas,Smith,55621142,TS6Y25@UoNEHT.ac.uk,3,"21062 Kimberly Creek
Scottmouth, MD 57558",001-761-687-9938x0986,ENG3401,Field Poetics,RM3Z1@UoNEHT.ac.uk,,,19.0,5.0,10.0,
Julia,Wallace,104347540,JW24Y25@UoNEHT.ac.uk,2,"654 Farrell Wells
Robinsonview, NM 36487",,ELEC2405,Intermediate Hardware,JB5Z1@UoNEHT.ac.uk,,,9.0,14.0,15.0,11.0
Melissa,Strickland,69262573,MS11Y25@UoNEHT.ac.uk,3,"57642 Goodman Parkway Suite 768
Smithchester, IN 14803",763-491-5686x0230,COMP3402,Field Programming,LK1Z1@UoNEHT.ac.uk,,,14.0,8.0,21.0,6.0
Russell,Thompson,14192461,RT1Y25@UoNEHT.ac.uk,4,"47345 Rachel Flats
East Tinaburgh, RI 03788",(555)259-8522x707,FREN4406,Theoretical Formal Speech,KC1Z1@UoNEHT.ac.uk,TM2Z1@UoNEHT.ac.uk,YC1Z1@UoNEHT.ac.uk,99.0,,,
Donald,Alvarez,31493478,DA3Y25@UoNEHT.ac.uk,4,"3476 Brandy Key
Bishopport, DC 10173",,COMP4405,Theoretical Statistics,JJ1Z1@UoNEHT.ac.uk,RR2Z1@UoNEHT.ac.uk,,67.0,14.0,,
Kenneth,Yang,11444681,KY1Y25@UoNEHT.ac.uk,4,"37290 Jacob Ferry
New Joshuatown, GU 98884",+1-743-634-5492x62369,ANIM4401,Master's Animation,SC1Z1@UoNEHT.ac.uk,,,24.0,14.0,,
Adrian,Diaz,131301480,AD5Y25@UoNEHT.ac.uk,1,"8982 Evans Oval
Port Brittney, MN 86783",,GER1407,Beginner's Poetics,KS2Z1@UoNEHT.ac.uk,MM1Z1@UoNEHT.ac.uk,,77.0,2.0,,
