faculty,building,room,capacity,lecturer_email,lecturer_firstname,lecturer_surname
Faculty of Art,B18,R1005,140,KC2Z1@UoNEHT.ac.uk,Katie,Carter
Faculty of Art,B18,R1007,270,JG4Z1@UoNEHT.ac.uk,Joshua,Guerra
Faculty of Art,B18,R1009,130,GJ1Z1@UoNEHT.ac.uk,Gina,Jackson
Faculty of Art,B18,R1012,220,JM2Z1@UoNEHT.ac.uk,Jordan,Mendoza
Faculty of Art,B19,R1001,400,LG3Z1@UoNEHT.ac.uk,Lisa,Greer
Faculty of Art,B19,R1006,390,JR1Z1@UoNEHT.ac.uk,Jonathan,Ramos
Faculty of Art,B19,R1006,390,NL1Z1@UoNEHT.ac.uk,Nicole,Little
Faculty of Art,B19,R1009,30,KM1Z1@UoNEHT.ac.uk,Kevin,Myers
Faculty of Art,B1,R2004,180,TL1Z1@UoNEHT.ac.uk,Thomas,Larson
Faculty of Art,B1,R2006,390,MO1Z1@UoNEHT.ac.uk,Monica,Obrien
Faculty of Art,B1,R2010,390,JC7Z1@UoNEHT.ac.uk,Jacqueline,Clark
Faculty of Art,B1,R3016,20,JO1Z1@UoNEHT.ac.uk,John,Olson
Faculty of Art,B1,R4017,50,NH1Z1@UoNEHT.ac.uk,Nicholas,Hamilton
Faculty of Art,B1,R4020,340,LG3Z1@UoNEHT.ac.uk,Lisa,Greer
Faculty of Art,B1,R4026,430,PM1Z1@UoNEHT.ac.uk,Peter,Melendez
Faculty of Art,B1,R5033,160,DH1Z1@UoNEHT.ac.uk,Diana,Hawkins
Faculty of Art,B1,R5038,330,RG1Z1@UoNEHT.ac.uk,Rebecca,Gross
Faculty of Art,B1,R5051,210,MF1Z1@UoNEHT.ac.uk,Michael,Fitzgerald
Faculty of Art,B21,R13071,220,JR2Z1@UoNEHT.ac.uk,Jennifer,Reid
Faculty of Art,B21,R2003,400,CW1Z1@UoNEHT.ac.uk,Christopher,Wright
Faculty of Art,B21,R5018,200,AD3Z1@UoNEHT.ac.uk,Alicia,Daniels
Faculty of Art,B21,R8048,210,KM2Z1@UoNEHT.ac.uk,Kyle,Miller
Faculty of Art,B21,R8054,320,NC2Z1@UoNEHT.ac.uk,Nancy,Contreras
Faculty of Art,B22,R2003,30,AC1Z1@UoNEHT.ac.uk,Alexis,Crosby
Faculty of Art,B22,R3008,70,JH1Z1@UoNEHT.ac.uk,John,Hall
Faculty of Art,B22,R3013,440,HD1Z1@UoNEHT.ac.uk,Hannah,Dunlap
Faculty of Art,B22,R6022,390,JC6Z1@UoNEHT.ac.uk,Jeremy,Cooper
Faculty of Art,B22,R6024,60,AM4Z1@UoNEHT.ac.uk,Austin,Murphy
Faculty of Art,B28,R1004,440,MO1Z1@UoNEHT.ac.uk,Monica,Obrien
Faculty of Art,B28,R3019,260,AM6Z1@UoNEHT.ac.uk,Abigail,Mendoza
Faculty of Art,B28,R6035,470,SC2Z1@UoNEHT.ac.uk,Sara,Cohen
Faculty of Art,B28,R8041,290,MS1Z1@UoNEHT.ac.uk,Maria,Spencer
Faculty of Art,B28,R8042,330,TD2Z1@UoNEHT.ac.uk,Todd,Dean
Faculty of Art,B28,R9045,20,KM2Z1@UoNEHT.ac.uk,Kyle,Miller
Faculty of Art,B28,R9047,70,WM1Z1@UoNEHT.ac.uk,William,Mccarty
Faculty of Art,B36,R1000,450,MW2Z1@UoNEHT.ac.uk,Michael,Walter
Faculty of Art,B36,R1001,160,DH1Z1@UoNEHT.ac.uk,Diana,Hawkins
Faculty of Art,B36,R1001,160,MS5Z1@UoNEHT.ac.uk,Melissa,Spence
Faculty of Art,B36,R1002,150,JJ3Z1@UoNEHT.ac.uk,Jared,Jackson
Faculty of Art,B36,R2004,320,KJ1Z1@UoNEHT.ac.uk,Kevin,Jones
Faculty of Art,B36,R2010,380,DS2Z1@UoNEHT.ac.uk,Danielle,Schneider
Faculty of Art,B36,R2013,380,CO1Z1@UoNEHT.ac.uk,Cindy,Ortiz
Faculty of Art,B37,R4020,490,RM5Z1@UoNEHT.ac.uk,Richard,Munoz
Faculty of Art,B37,R4024,200,AD5Z1@UoNEHT.ac.uk,Adrian,Dean
Faculty of Art,B37,R4028,480,HS1Z1@UoNEHT.ac.uk,Helen,Skinner
Faculty of Art,B37,R7040,460,SS1Z1@UoNEHT.ac.uk,Steven,Smith
Faculty of Art,B37,R7043,30,SJ1Z1@UoNEHT.ac.uk,Sheila,Jefferson
Faculty of Art,B37,R7048,280,AC1Z1@UoNEHT.ac.uk,Alexis,Crosby
Faculty of Art,B40,R1004,260,JS1Z1@UoNEHT.ac.uk,Jonathan,Serrano
Faculty of Art,B40,R1004,260,RG1Z1@UoNEHT.ac.uk,Rebecca,Gross
Faculty of Art,B40,R2010,370,RC2Z1@UoNEHT.ac.uk,Robert,Cohen
Faculty of Art,B40,R2015,240,JR2Z1@UoNEHT.ac.uk,Jennifer,Reid
Faculty of Art,B40,R2015,240,SC1Z1@UoNEHT.ac.uk,Sharon,Campbell
Faculty of Art,B40,R2018,490,AD6Z1@UoNEHT.ac.uk,Andrew,Davis
Faculty of Art,B40,R2018,490,JG3Z1@UoNEHT.ac.uk,Justin,Gardner
Faculty of Art,B40,R2022,220,KA1Z1@UoNEHT.ac.uk,Kayla,Arnold
Faculty of Art,B40,R2023,20,IS1Z1@UoNEHT.ac.uk,Isabella,Sherman
Faculty of Art,B40,R2023,20,MH1Z1@UoNEHT.ac.uk,Matthew,Harrison
Faculty of Art,B43,R1013,470,LM1Z1@UoNEHT.ac.uk,Lisa,Morgan
Faculty of Art,B43,R1018,310,GC1Z1@UoNEHT.ac.uk,Gabrielle,Cantu
Faculty of Art,B43,R2019,240,JG3Z1@UoNEHT.ac.uk,Justin,Gardner
Faculty of Art,B43,R2023,280,BJ1Z1@UoNEHT.ac.uk,Bruce,Jenkins
Faculty of Art,B43,R2026,430,TD2Z1@UoNEHT.ac.uk,Todd,Dean
Faculty of Art,B43,R3034,450,CC3Z1@UoNEHT.ac.uk,Christine,Clarke
Faculty of Art,B43,R6058,260,AH1Z1@UoNEHT.ac.uk,Anthony,Harvey
Faculty of Art,B43,R6079,360,AT3Z1@UoNEHT.ac.uk,Adriana,Tapia
Faculty of Art,B44,R3013,270,JG4Z1@UoNEHT.ac.uk,Joshua,Guerra
Faculty of Art,B44,R3013,270,KM1Z1@UoNEHT.ac.uk,Kevin,Myers
Faculty of Art,B44,R3018,350,TW3Z1@UoNEHT.ac.uk,Tina,West
Faculty of Art,B44,R5024,460,JD2Z1@UoNEHT.ac.uk,James,Davis
Faculty of Art,B44,R9057,100,MM2Z1@UoNEHT.ac.uk,Melanie,Morse
Faculty of Art,B46,R2014,380,JM7Z1@UoNEHT.ac.uk,Janice,Moss
Faculty of Art,B46,R3040,30,CS2Z1@UoNEHT.ac.uk,Carolyn,Sellers
Faculty of Art,B46,R3040,30,MO2Z1@UoNEHT.ac.uk,Morgan,Ortiz
Faculty of Art,B46,R3042,120,GF2Z1@UoNEHT.ac.uk,Greg,Frazier
Faculty of Art,B46,R3043,410,HS1Z1@UoNEHT.ac.uk,Helen,Skinner
Faculty of Art,B47,R1004,450,JM7Z1@UoNEHT.ac.uk,Janice,Moss
Faculty of Art,B47,R2008,310,MS1Z1@UoNEHT.ac.uk,Maria,Spencer
Faculty of Art,B47,R3010,430,JC7Z1@UoNEHT.ac.uk,Jacqueline,Clark
Faculty of Art,B47,R3012,20,AM5Z1@UoNEHT.ac.uk,Andrea,Marshall
Faculty of Art,B47,R3014,320,AD3Z1@UoNEHT.ac.uk,Alicia,Daniels
Faculty of Art,B48,R1001,80,JB1Z1@UoNEHT.ac.uk,Janice,Bradford
Faculty of Art,B48,R1002,460,JB3Z1@UoNEHT.ac.uk,Joshua,Browning
Faculty of Art,B48,R5026,290,JB1Z1@UoNEHT.ac.uk,Janice,Bradford
Faculty of Art,B48,R8066,350,JG4Z1@UoNEHT.ac.uk,Joshua,Guerra
Faculty of Art,B48,R8066,350,MS5Z1@UoNEHT.ac.uk,Melissa,Spence
Faculty of Art,B50,R1002,90,BP1Z1@UoNEHT.ac.uk,Brandon,Pham
Faculty of Art,B50,R1003,140,AH1Z1@UoNEHT.ac.uk,Anthony,Harvey
Faculty of Art,B50,R1009,240,JM4Z1@UoNEHT.ac.uk,Joshua,Mckinney
Faculty of Art,B50,R1010,50,AM2Z1@UoNEHT.ac.uk,Andrea,Merritt
Faculty of Art,B50,R1012,330,MO2Z1@UoNEHT.ac.uk,Morgan,Ortiz
Faculty of Art,B57,R1000,180,JH1Z1@UoNEHT.ac.uk,John,Hall
Faculty of Art,B57,R1000,180,RJ1Z1@UoNEHT.ac.uk,Robert,Jones
Faculty of Art,B57,R1004,150,PG1Z1@UoNEHT.ac.uk,Philip,Gordon
Faculty of Art,B57,R1005,190,SC1Z1@UoNEHT.ac.uk,Sharon,Campbell
Faculty of Art,B57,R1007,40,SS1Z1@UoNEHT.ac.uk,Steven,Smith
Faculty of Art,B57,R1011,260,AD3Z1@UoNEHT.ac.uk,Alicia,Daniels
Faculty of Art,B57,R1014,30,JG3Z1@UoNEHT.ac.uk,Justin,Gardner
Faculty of Art,B57,R1020,200,SA1Z1@UoNEHT.ac.uk,Scott,Arnold
Faculty of Art,B57,R1021,230,TD1Z1@UoNEHT.ac.uk,Tina,David
Faculty of Art,B58,R2023,120,JM4Z1@UoNEHT.ac.uk,Joshua,Mckinney
Faculty of Art,B58,R7068,170,GD1Z1@UoNEHT.ac.uk,Gail,Dudley
Faculty of Art,B58,R9079,50,AD6Z1@UoNEHT.ac.uk,Andrew,Davis
Faculty of Art,B5,R2007,200,KS1Z1@UoNEHT.ac.uk,Kimberly,Schroeder
Faculty of Art,B5,R2008,440,TL1Z1@UoNEHT.ac.uk,Thomas,Larson
Faculty of Art,B5,R2010,490,KM1Z1@UoNEHT.ac.uk,Kevin,Myers
Faculty of Art,B5,R2018,140,AM5Z1@UoNEHT.ac.uk,Andrea,Marshall
Faculty of Art,B5,R3022,250,SA1Z1@UoNEHT.ac.uk,Scott,Arnold
Faculty of Art,B5,R3035,340,JR1Z1@UoNEHT.ac.uk,Jonathan,Ramos
Faculty of Art,B5,R3043,50,MO1Z1@UoNEHT.ac.uk,Monica,Obrien
Faculty of Art,B5,R3044,70,JS1Z1@UoNEHT.ac.uk,Jonathan,Serrano
Faculty of Art,B5,R5054,360,PR1Z1@UoNEHT.ac.uk,Phillip,Roberts
Faculty of Art,B5,R5060,460,AH4Z1@UoNEHT.ac.uk,Andrew,Hunt
Faculty of Art,B61,R4007,250,TH1Z1@UoNEHT.ac.uk,Tiffany,Harrison
Faculty of Art,B61,R4010,180,SN2Z1@UoNEHT.ac.uk,Sherri,Nguyen
Faculty of Art,B61,R4017,270,JM2Z1@UoNEHT.ac.uk,Jordan,Mendoza
Faculty of Art,B61,R4021,140,BP2Z1@UoNEHT.ac.uk,Benjamin,Poole
Faculty of Art,B61,R8041,330,TL1Z1@UoNEHT.ac.uk,Thomas,Larson
Faculty of Art,B61,R9051,200,RS1Z1@UoNEHT.ac.uk,Richard,Sheppard
Faculty of Art,B68,R2008,450,MO1Z1@UoNEHT.ac.uk,Monica,Obrien
Faculty of Art,B68,R2012,270,JR1Z1@UoNEHT.ac.uk,Jonathan,Ramos
Faculty of Art,B68,R2014,80,AM2Z1@UoNEHT.ac.uk,Andrea,Merritt
Faculty of Art,B68,R4018,130,JG4Z1@UoNEHT.ac.uk,Joshua,Guerra
Faculty of Art,B68,R4025,70,DH1Z1@UoNEHT.ac.uk,Diana,Hawkins
Faculty of Art,B68,R4028,490,SC2Z1@UoNEHT.ac.uk,Sara,Cohen
Faculty of Art,B69,R4009,480,DJ1Z1@UoNEHT.ac.uk,Donna,Johnson
Faculty of Art,B69,R4012,80,DB1Z1@UoNEHT.ac.uk,David,Bennett
Faculty of Art,B69,R4015,320,SC2Z1@UoNEHT.ac.uk,Sara,Cohen
Faculty of Art,B69,R4019,40,JB1Z1@UoNEHT.ac.uk,Janice,Bradford
Faculty of Art,B69,R4020,20,MS2Z1@UoNEHT.ac.uk,Michael,Silva
Faculty of Art,B6,R1008,460,BJ1Z1@UoNEHT.ac.uk,Bruce,Jenkins
Faculty of Art,B6,R1012,440,LS1Z1@UoNEHT.ac.uk,Larry,Schultz
Faculty of Art,B6,R1017,460,PR2Z1@UoNEHT.ac.uk,Patty,Rowe
Faculty of Art,B6,R2025,140,AS3Z1@UoNEHT.ac.uk,Adam,Santana
Faculty of Art,B6,R3046,290,TF1Z1@UoNEHT.ac.uk,Tara,Friedman
Faculty of Art,B6,R4055,290,WM1Z1@UoNEHT.ac.uk,William,Mccarty
Faculty of Art,B6,R4059,190,MK1Z1@UoNEHT.ac.uk,Melinda,Keller
Faculty of Art,B6,R5061,120,KJ1Z1@UoNEHT.ac.uk,Kevin,Jones
Faculty of Art,B6,R6068,200,AM1Z1@UoNEHT.ac.uk,Amy,Morales
Faculty of Art,B74,R10060,40,MS2Z1@UoNEHT.ac.uk,Michael,Silva
Faculty of Art,B74,R10063,150,MS2Z1@UoNEHT.ac.uk,Michael,Silva
Faculty of Art,B74,R2007,40,MA1Z1@UoNEHT.ac.uk,Martha,Ayers
Faculty of Art,B75,R1003,170,NT1Z1@UoNEHT.ac.uk,Nancy,Thompson
Faculty of Art,B75,R3009,280,JM4Z1@UoNEHT.ac.uk,Joshua,Mckinney
Faculty of Art,B75,R3024,210,PV1Z1@UoNEHT.ac.uk,Patricia,Vazquez
Faculty of Art,B75,R4029,200,JB1Z1@UoNEHT.ac.uk,Janice,Bradford
Faculty of Art,B75,R4029,200,RP1Z1@UoNEHT.ac.uk,Richard,Perez
Faculty of Art,B75,R4032,200,AD6Z1@UoNEHT.ac.uk,Andrew,Davis
Faculty of Art,B75,R8065,450,LR1Z1@UoNEHT.ac.uk,Lindsey,Rice
Faculty of Art,B83,R1000,210,GD1Z1@UoNEHT.ac.uk,Gail,Dudley
Faculty of Art,B83,R1001,390,BP2Z1@UoNEHT.ac.uk,Benjamin,Poole
Faculty of Art,B83,R1001,390,PV1Z1@UoNEHT.ac.uk,Patricia,Vazquez
Faculty of Art,B83,R1002,380,GD1Z1@UoNEHT.ac.uk,Gail,Dudley
Faculty of Art,B83,R1002,380,TL1Z1@UoNEHT.ac.uk,Thomas,Larson
Faculty of Art,B83,R1004,200,CM1Z1@UoNEHT.ac.uk,Christopher,Moyer
Faculty of Art,B83,R1004,200,HS1Z1@UoNEHT.ac.uk,Helen,Skinner
Faculty of Art,B83,R2005,480,NH1Z1@UoNEHT.ac.uk,Nicholas,Hamilton
Faculty of Art,B83,R2006,180,AC1Z1@UoNEHT.ac.uk,Alexis,Crosby
Faculty of Art,B83,R2006,180,JR2Z1@UoNEHT.ac.uk,Jennifer,Reid
Faculty of Art,B83,R2007,100,EP2Z1@UoNEHT.ac.uk,Elizabeth,Pham
Faculty of Art,B85,R1001,340,KJ1Z1@UoNEHT.ac.uk,Kevin,Jones
Faculty of Art,B85,R1005,150,AW2Z1@UoNEHT.ac.uk,Anita,Williams
Faculty of Art,B85,R1007,440,AD3Z1@UoNEHT.ac.uk,Alicia,Daniels
Faculty of Art,B85,R1016,290,JR2Z1@UoNEHT.ac.uk,Jennifer,Reid
Faculty of Art,B85,R2020,290,LS1Z1@UoNEHT.ac.uk,Larry,Schultz
Faculty of Art,B85,R2031,180,AD1Z1@UoNEHT.ac.uk,Adrian,Diaz
Faculty of Art,B85,R5046,410,GF2Z1@UoNEHT.ac.uk,Greg,Frazier
Faculty of Art,B89,R1001,300,JM7Z1@UoNEHT.ac.uk,Janice,Moss
Faculty of Art,B89,R1002,290,BK1Z1@UoNEHT.ac.uk,Brittany,Kim
Faculty of Art,B89,R1005,90,LS1Z1@UoNEHT.ac.uk,Larry,Schultz
Faculty of Art,B89,R1010,290,BJ1Z1@UoNEHT.ac.uk,Bruce,Jenkins
Faculty of Art,B89,R1012,280,BP2Z1@UoNEHT.ac.uk,Benjamin,Poole
Faculty of Art,B89,R1012,280,GD1Z1@UoNEHT.ac.uk,Gail,Dudley
Faculty of Art,B89,R1013,90,LG3Z1@UoNEHT.ac.uk,Lisa,Greer
Faculty of Art,B89,R1015,80,TW2Z1@UoNEHT.ac.uk,Tiffany,Walker
Faculty of Art,B89,R4033,220,JL3Z1@UoNEHT.ac.uk,Jason,Lozano
Faculty of Art,B89,R4035,190,GF1Z1@UoNEHT.ac.uk,George,Ford
Faculty of Art,B89,R4035,190,JM7Z1@UoNEHT.ac.uk,Janice,Moss
Faculty of Art,B90,R1006,320,MS2Z1@UoNEHT.ac.uk,Michael,Silva
Faculty of Art,B90,R2013,120,DL1Z1@UoNEHT.ac.uk,David,Leonard
Faculty of Art,B90,R3021,360,RP1Z1@UoNEHT.ac.uk,Richard,Perez
Faculty of Art,B90,R5053,260,HS1Z1@UoNEHT.ac.uk,Helen,Skinner
Faculty of Art,B90,R6064,80,DG1Z1@UoNEHT.ac.uk,Douglas,Gross
Faculty of Art,B90,R7084,480,TH1Z1@UoNEHT.ac.uk,Tiffany,Harrison
Faculty of Art,B90,R8091,50,MK2Z1@UoNEHT.ac.uk,Michael,Key
Faculty of Art,B91,R3014,390,LM2Z1@UoNEHT.ac.uk,Lynn,Maxwell
Faculty of Art,B91,R3031,240,TD1Z1@UoNEHT.ac.uk,Tina,David
Faculty of Art,B91,R6055,100,BW1Z1@UoNEHT.ac.uk,Breanna,White
Faculty of Art,B91,R7071,320,TH1Z1@UoNEHT.ac.uk,Tiffany,Harrison
Faculty of Art,B91,R7078,20,AD1Z1@UoNEHT.ac.uk,Adrian,Diaz
Faculty of Art,B97,R1004,40,SC2Z1@UoNEHT.ac.uk,Sara,Cohen
Faculty of Art,B97,R1023,220,NM1Z1@UoNEHT.ac.uk,Natalie,Miller
Faculty of Art,B9,R2012,20,MM2Z1@UoNEHT.ac.uk,Melanie,Morse
Faculty of Art,B9,R5030,180,DM1Z1@UoNEHT.ac.uk,Danielle,Martin
Faculty of Art,B9,R5037,250,CS2Z1@UoNEHT.ac.uk,Carolyn,Sellers
Faculty of Art,B9,R8054,320,GF2Z1@UoNEHT.ac.uk,Greg,Frazier
Faculty of Art,B9,R8055,230,AM5Z1@UoNEHT.ac.uk,Andrea,Marshall
Faculty of Art,B9,R8055,230,AT1Z1@UoNEHT.ac.uk,Amy,Taylor
Faculty of Art,B9,R9056,100,JG3Z1@UoNEHT.ac.uk,Justin,Gardner
Faculty of Languages,B100,R2002,480,EH1Z1@UoNEHT.ac.uk,Evelyn,Hunt
Faculty of Languages,B100,R2002,480,WS1Z1@UoNEHT.ac.uk,Wendy,Scott
Faculty of Languages,B100,R2003,90,SK1Z1@UoNEHT.ac.uk,Susan,Keith
Faculty of Languages,B100,R2005,210,EL2Z1@UoNEHT.ac.uk,Edward,Lewis
Faculty of Languages,B100,R2005,210,KD1Z1@UoNEHT.ac.uk,Kayla,Dennis
Faculty of Languages,B100,R2008,300,RR4Z1@UoNEHT.ac.uk,Ricardo,Ruiz
Faculty of Languages,B100,R2010,100,AG1Z1@UoNEHT.ac.uk,Ann,Garrison
Faculty of Languages,B100,R2010,100,KB1Z1@UoNEHT.ac.uk,Kenneth,Baker
Faculty of Languages,B100,R2010,100,MJ2Z1@UoNEHT.ac.uk,Molly,Jones
Faculty of Languages,B100,R2011,400,BE2Z1@UoNEHT.ac.uk,Brian,Edwards
Faculty of Languages,B11,R2012,360,SD1Z1@UoNEHT.ac.uk,Sharon,Dunn
Faculty of Languages,B11,R2018,20,PF1Z1@UoNEHT.ac.uk,Patrick,Fields
Faculty of Languages,B11,R2022,470,MC2Z1@UoNEHT.ac.uk,Michael,Cooper
Faculty of Languages,B11,R2022,470,VM1Z1@UoNEHT.ac.uk,Veronica,Miller
Faculty of Languages,B11,R3030,380,KB1Z1@UoNEHT.ac.uk,Kenneth,Baker
Faculty of Languages,B11,R3035,390,ER1Z1@UoNEHT.ac.uk,Elizabeth,Robertson
Faculty of Languages,B11,R5040,470,JW3Z1@UoNEHT.ac.uk,John,Wang
Faculty of Languages,B14,R1002,60,RR1Z1@UoNEHT.ac.uk,Robert,Reynolds
Faculty of Languages,B14,R1002,60,TM5Z1@UoNEHT.ac.uk,Thomas,Mclaughlin
Faculty of Languages,B14,R1002,60,VM1Z1@UoNEHT.ac.uk,Veronica,Miller
Faculty of Languages,B14,R2005,80,MS4Z1@UoNEHT.ac.uk,Meagan,Snyder
Faculty of Languages,B14,R2010,250,JM3Z1@UoNEHT.ac.uk,Joseph,Mcclain
Faculty of Languages,B17,R3018,200,MD1Z1@UoNEHT.ac.uk,Monica,Douglas
Faculty of Languages,B17,R3020,410,NC1Z1@UoNEHT.ac.uk,Nancy,Costa
Faculty of Languages,B17,R3037,150,SA3Z1@UoNEHT.ac.uk,Stephanie,Arnold
Faculty of Languages,B17,R4038,190,WS1Z1@UoNEHT.ac.uk,Wendy,Scott
Faculty of Languages,B17,R7046,250,MM3Z1@UoNEHT.ac.uk,Michael,Maldonado
Faculty of Languages,B17,R7050,360,MW3Z1@UoNEHT.ac.uk,Matthew,Werner
Faculty of Languages,B17,R8055,490,LM3Z1@UoNEHT.ac.uk,Lauren,Mccoy
Faculty of Languages,B17,R8061,370,MH2Z1@UoNEHT.ac.uk,Matthew,Hart
Faculty of Languages,B23,R2006,390,FF1Z1@UoNEHT.ac.uk,Frank,Fernandez
Faculty of Languages,B23,R2011,90,RW1Z1@UoNEHT.ac.uk,Robert,Walters
Faculty of Languages,B23,R3020,160,AM3Z1@UoNEHT.ac.uk,Ashley,Miller
Faculty of Languages,B23,R3029,230,JM8Z1@UoNEHT.ac.uk,Jesse,Moore
Faculty of Languages,B23,R3031,400,JC4Z1@UoNEHT.ac.uk,Joshua,Cole
Faculty of Languages,B23,R3041,70,CC1Z1@UoNEHT.ac.uk,Cassandra,Clark
Faculty of Languages,B25,R1005,420,BS1Z1@UoNEHT.ac.uk,Barry,Sandoval
Faculty of Languages,B25,R1005,420,JW1Z1@UoNEHT.ac.uk,Janet,Woods
Faculty of Languages,B25,R2007,70,RW2Z1@UoNEHT.ac.uk,Robert,Wall
Faculty of Languages,B25,R4020,250,AT2Z1@UoNEHT.ac.uk,Ashley,Tate
Faculty of Languages,B25,R5035,20,LG1Z1@UoNEHT.ac.uk,Lauren,Greene
Faculty of Languages,B25,R5041,30,SA3Z1@UoNEHT.ac.uk,Stephanie,Arnold
Faculty of Languages,B25,R6049,350,SK1Z1@UoNEHT.ac.uk,Susan,Keith
Faculty of Languages,B25,R7072,280,MD1Z1@UoNEHT.ac.uk,Monica,Douglas
Faculty of Languages,B25,R8090,190,SD1Z1@UoNEHT.ac.uk,Sharon,Dunn
Faculty of Languages,B25,R8095,380,SG1Z1@UoNEHT.ac.uk,Sara,Gilbert
Faculty of Languages,B26,R1000,330,MJ2Z1@UoNEHT.ac.uk,Molly,Jones
Faculty of Languages,B26,R1005,480,CB1Z1@UoNEHT.ac.uk,Charles,Brady
Faculty of Languages,B26,R1006,420,SW1Z1@UoNEHT.ac.uk,Samuel,Wilson
Faculty of Languages,B26,R1008,340,NW1Z1@UoNEHT.ac.uk,Nicholas,Williams
Faculty of Languages,B26,R1013,10,EL2Z1@UoNEHT.ac.uk,Edward,Lewis
Faculty of Languages,B26,R1016,380,LH1Z1@UoNEHT.ac.uk,Louis,Hoover
Faculty of Languages,B30,R2003,20,MM3Z1@UoNEHT.ac.uk,Michael,Maldonado
Faculty of Languages,B30,R2003,20,ST1Z1@UoNEHT.ac.uk,Steven,Thompson
Faculty of Languages,B30,R3006,160,BT1Z1@UoNEHT.ac.uk,Brendan,Turner
Faculty of Languages,B30,R3009,60,RR1Z1@UoNEHT.ac.uk,Robert,Reynolds
Faculty of Languages,B31,R1000,110,EM1Z1@UoNEHT.ac.uk,Eric,Mcdonald
Faculty of Languages,B31,R1001,250,EG1Z1@UoNEHT.ac.uk,Edwin,Griffin
Faculty of Languages,B31,R1002,110,DF1Z1@UoNEHT.ac.uk,Dennis,Fuentes
Faculty of Languages,B31,R1002,110,DS6Z1@UoNEHT.ac.uk,Danielle,Stone
Faculty of Languages,B31,R1002,110,JJ6Z1@UoNEHT.ac.uk,John,Johnson
Faculty of Languages,B31,R1004,260,KB3Z1@UoNEHT.ac.uk,Kara,Brown
Faculty of Languages,B31,R1007,140,TB1Z1@UoNEHT.ac.uk,Thomas,Boyd
Faculty of Languages,B31,R2011,390,DS6Z1@UoNEHT.ac.uk,Danielle,Stone
Faculty of Languages,B31,R2015,400,CH3Z1@UoNEHT.ac.uk,Chad,Hardy
Faculty of Languages,B31,R3017,390,AL1Z1@UoNEHT.ac.uk,Andrew,Lewis
Faculty of Languages,B33,R2007,110,KC1Z1@UoNEHT.ac.uk,Keith,Carroll
Faculty of Languages,B33,R3010,490,EG1Z1@UoNEHT.ac.uk,Edwin,Griffin
Faculty of Languages,B33,R5035,470,BE1Z1@UoNEHT.ac.uk,Brett,Erickson
Faculty of Languages,B33,R6042,430,MJ2Z1@UoNEHT.ac.uk,Molly,Jones
Faculty of Languages,B33,R8048,360,WS1Z1@UoNEHT.ac.uk,Wendy,Scott
Faculty of Languages,B33,R8054,120,YC1Z1@UoNEHT.ac.uk,Yvonne,Choi
Faculty of Languages,B33,R9062,130,AL2Z1@UoNEHT.ac.uk,Alan,Lucas
Faculty of Languages,B35,R1002,70,SG1Z1@UoNEHT.ac.uk,Sara,Gilbert
Faculty of Languages,B35,R1003,370,LM3Z1@UoNEHT.ac.uk,Lauren,Mccoy
Faculty of Languages,B35,R1003,370,MM3Z1@UoNEHT.ac.uk,Michael,Maldonado
